ObservationDate,ObservationTime,EntryDateTime,StationNumber,StationName,Latitude,Longitude,TotalPrecipAmt,NewSnowDepth,NewSnowSWE,TotalSnowDepth,TotalSnowSWE,DateTimeStamp
2024-12-10, 04:30 AM, 2024-12-10 04:28 AM, DE-NC-10, Newport 2.4 WNW, 39.725585, -75.648791, 0.03, NA, NA, NA, NA, 2024-12-10 09:27 AM
2024-12-10, 04:30 AM, 2024-12-10 04:30 AM, DE-KN-9, Dover 5.1 WSW, 39.12966667, -75.6125, 0.01, NA, NA, NA, NA, 2024-12-10 09:30 AM
2024-12-10, 05:00 AM, 2024-12-10 05:05 AM, DE-SS-85, Greenwood 4.6 WNW, 38.841166, -75.666295, T, NA, NA, NA, NA, 2024-12-10 10:05 AM
2024-12-10, 05:00 AM, 2024-12-10 06:29 AM, DE-SS-15, Selbyville 7.1 E, 38.461155, -75.089328, 0.00, 0.0, NA, NA, NA, 2024-12-10 11:29 AM
2024-12-10, 06:00 AM, 2024-12-10 06:42 AM, DE-NC-35, Middletown 5.2 ENE, 39.4891815185547, -75.629997253418, 0.01, NA, NA, NA, NA, 2024-12-10 11:41 AM
2024-12-10, 07:00 AM, 2024-12-10 06:41 AM, DE-NC-40, Wilmington 5.6 N, 39.8166579, -75.518258, 0.03, NA, NA, NA, NA, 2024-12-10 11:41 AM
2024-12-10, 07:00 AM, 2024-12-14 07:04 AM, DE-SS-16, Seaford 0.8 SW, 38.641779, -75.627133, T, 0.0, NA, NA, NA, 2024-12-14 12:04 PM
2024-12-10, 07:00 AM, 2024-12-10 07:11 AM, DE-SS-86, Millsboro 1.3 W, 38.582501, -75.316304, T, 0.0, NA, NA, NA, 2024-12-10 12:11 PM
2024-12-10, 07:00 AM, 2024-12-10 07:12 AM, DE-KN-20, Clayton 1.5 SW, 39.2803287506104, -75.6558801233768, 0.00, 0.0, NA, NA, NA, 2024-12-10 12:12 PM
2024-12-10, 07:00 AM, 2024-12-10 07:17 AM, DE-SS-41, Millsboro 1.3 W, 38.5819473266602, -75.3158798217773, 0.00, 0.0, NA, NA, NA, 2024-12-10 12:16 PM
2024-12-10, 07:00 AM, 2024-12-10 07:17 AM, DE-SS-79, Frankford 6.2 E, 38.523319, -75.117694, 0.04, NA, NA, NA, NA, 2024-12-10 12:16 PM
2024-12-10, 07:00 AM, 2024-12-10 07:24 AM, DE-NC-4, Middletown 0.9 SSE, 39.439325, -75.707126, 0.01, NA, NA, NA, NA, 2024-12-10 12:23 PM
2024-12-10, 07:00 AM, 2024-12-10 07:27 AM, DE-SS-31, Dagsboro 7.1 ENE, 38.576814, -75.121908, 0.02, NA, NA, NA, NA, 2024-12-10 12:27 PM
2024-12-10, 07:00 AM, 2024-12-10 07:34 AM, DE-SS-3, Delmar 4.3 E, 38.469094, -75.492328, T, 0.0, NA, 0.0, NA, 2024-12-10 12:33 PM
2024-12-10, 07:00 AM, 2024-12-10 07:44 AM, DE-NC-74, Newport 1.0 WNW, 39.719486, -75.62449, 0.05, NA, NA, NA, NA, 2024-12-10 12:43 PM
2024-12-10, 07:00 AM, 2024-12-10 07:45 AM, DE-KN-33, Smyrna 3.5 SSW, 39.246458, -75.622281, T, 0.0, 0.00, 0.0, 0.00, 2024-12-10 12:45 PM
2024-12-10, 07:00 AM, 2024-12-10 07:51 AM, DE-SS-60, Lewes 4.6 SSW, 38.72241, -75.192571, T, NA, NA, NA, NA, 2024-12-10 12:51 PM
2024-12-10, 07:00 AM, 2024-12-10 07:57 AM, DE-SS-48, Ellendale 3.4 ENE, 38.8317108154297, -75.3690032958984, 0.00, 0.0, NA, NA, NA, 2024-12-10 12:57 PM
2024-12-10, 07:00 AM, 2024-12-10 07:57 AM, DE-SS-61, Milton 3.0 E, 38.77847, -75.257393, T, NA, NA, NA, NA, 2024-12-10 12:57 PM
2024-12-10, 07:00 AM, 2024-12-10 08:05 AM, DE-SS-46, Seaford 0.6 WSW, 38.645, -75.6261, T, NA, NA, NA, NA, 2024-12-10 01:05 PM
2024-12-10, 07:00 AM, 2024-12-10 08:08 AM, DE-NC-2, Newark 3.9 SSW, 39.624942, -75.786129, 0.01, NA, NA, NA, NA, 2024-12-10 01:07 PM
2024-12-10, 07:00 AM, 2024-12-10 08:50 AM, DE-SS-73, Laurel 5.6 ESE, 38.5319, -75.4732, T, NA, NA, NA, NA, 2024-12-10 01:49 PM
2024-12-10, 07:00 AM, 2024-12-10 09:04 AM, DE-SS-76, Long Neck 6.5 NW, 38.684853, -75.237325, 0.00, 0.0, NA, NA, NA, 2024-12-10 02:04 PM
2024-12-10, 07:00 AM, 2024-12-10 09:38 AM, DE-KN-37, Magnolia 2.4 NNW, 39.103544, -75.486243, T, NA, NA, NA, NA, 2024-12-10 02:37 PM
2024-12-10, 07:00 AM, 2024-12-10 11:47 AM, DE-KN-24, Felton 0.4 E, 39.0098304748535, -75.5712280273438, T, 0.0, 0.00, 0.0, 0.00, 2024-12-10 04:47 PM
2024-12-10, 07:00 AM, 2024-12-10 02:22 PM, DE-NC-85, Middletown 4.5 NE, 39.50131, -75.65989, 0.05, NA, NA, NA, NA, 2024-12-10 07:21 PM
2024-12-10, 07:00 AM, 2024-12-10 03:36 PM, DE-SS-84, Millsboro 5.6 ENE, 38.629929, -75.205951, T, 0.0, NA, 0.0, NA, 2024-12-10 08:36 PM
2024-12-10, 07:00 AM, 2024-12-11 06:03 AM, DE-SS-94, Bridgeville 2.6 W, 38.748762, -75.650622, 0.00, 0.0, NA, NA, NA, 2024-12-11 11:02 AM
2024-12-10, 07:00 AM, 2024-12-11 08:50 AM, DE-SS-6, Seaford 2.3 SSE, 38.618918, -75.598454, T, NA, NA, NA, NA, 2024-12-11 01:49 PM
2024-12-10, 07:00 AM, 2024-12-12 07:50 PM, DE-SS-91, Milton 3.7 ESE, 38.763028, -75.246825, 0.00, 0.0, NA, NA, NA, 2024-12-13 12:50 AM
2024-12-10, 07:00 AM, 2024-12-13 03:04 PM, DE-NC-76, Middletown 4.9 NW, 39.506, -75.7719, 0.00, 0.0, NA, NA, NA, 2024-12-13 08:03 PM
2024-12-10, 07:00 AM, 2024-12-14 12:19 PM, DE-SS-89, Milton 7.6 SSE, 38.68592, -75.23765, T, NA, NA, NA, NA, 2024-12-14 05:19 PM
2024-12-10, 07:09 AM, 2024-12-10 07:10 AM, DE-NC-68, Wilmington 6.8 W, 39.742279, -75.668155, 0.04, NA, NA, NA, NA, 2024-12-10 12:09 PM
2024-12-10, 07:09 AM, 2024-12-10 07:10 AM, DE-SS-87, Milton 3.7 SW, 38.735857, -75.3544133, 0.00, 0.0, NA, NA, NA, 2024-12-10 12:09 PM
2024-12-10, 07:15 AM, 2024-12-10 07:16 AM, DE-SS-92, Dagsboro 6.3 E, 38.55891, -75.13219, 0.01, NA, NA, NA, NA, 2024-12-10 12:16 PM
2024-12-10, 07:48 AM, 2024-12-10 07:48 AM, DE-SS-44, Lewes 3.9 SW, 38.744523, -75.204769, 0.01, NA, NA, NA, NA, 2024-12-10 12:48 PM
